date,Hospitalized Census 5%,Hospitalized Census 25%,Hospitalized Census Median,Hospitalized Census 75%,Hospitalized Census %95,ICU Census 5%,ICU Census 25%,ICU Census Median,ICU Census 75%,ICU Census %95,Vent Census 5%,Vent Census 25%,Vent Census Median,Vent Census 75%,Vent Census %95,Hospitalized Admits 5%,Hospitalized Admits 25%,Hospitalized Admits Median,Hospitalized Admits 75%,Hospitalized Admits %95,ICU Admits 5%,ICU Admits 25%,ICU Admits Median,ICU Admits 75%,ICU Admits %95,Vent Admits 5%,Vent Admits 25%,Vent Admits Median,Vent Admits 75%,Vent Admits %95
2020-05-27,7.363886855899999,11.5163288203,15.0599972717,19.4430819329,27.1026713288,1.1104610505,2.9949795327,4.7771438764,6.6820163928,10.5487351431,1.7095314322500017,3.1861359891,4.6988330207,6.3821665632,9.2530410543,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-28,7.1490070554,10.956728167,14.7973461615,19.368878313,27.772345889994874,1.0820072914,2.8861139252,4.6871341374,6.6455002377,10.3576514566,1.6156040721,3.1053675535,4.578727036,6.255880973,9.53664124364997,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-29,6.9437705333,10.7028996891,14.6097512174,19.121605080850003,27.5335597754,1.0299658465,2.8319817467,4.581178189,6.5782994764,10.1569793094,1.5404560597999999,2.9659507783,4.4856265281,6.2359605878,9.2340962477,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-30,6.5871735452,10.2077866038,14.2376119658,18.8428160645,27.2654102541,0.9749988293,2.6802021058000003,4.4078372421,6.503462373,10.0538421714,1.5148033168950001,2.817294973,4.3466108779,6.1467389577,9.0953218483,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-05-31,6.1938519655,9.9627280461,13.659774170950001,18.5045843741,27.4785392745,0.9038007407,2.641911497,4.3143858959,6.5399246622,10.040658458,1.4475062415,2.7942671865,4.248844667,5.9537485904,9.0648257903,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-01,6.0965558791,9.7092311545,13.4478336325,18.4897150429,28.5948470493,0.8259329098,2.676089629,4.1577888083,6.2575408431,10.2079139514,1.3905032471,2.673537737,4.1033801805,6.0366909432,9.296112421,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-02,5.7122066676,9.4419058237,13.2392250987,17.9205753338,27.6436948772,0.8673500985,2.5909235611,3.9197728397000002,6.0832825341,9.9820718683,1.2913872879000001,2.6130816413,3.9744035355,5.8579850853,9.1736251856,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-03,5.6141861668,9.2965186217,12.7738727705,17.6699992316,27.4683937523,0.9766005335000001,2.556741526,3.8596843049,5.9547047415000005,9.7744473387,1.2316491412000001,2.5701090115,3.8810893203,5.71715705,9.4095373973,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-04,5.4956943984,9.0011069403,12.6734524589,17.3794814992,27.3988406153,0.8979863711,2.4440384831,3.8952545364,5.9446562654,9.9227255752,1.1558876654,2.5350899680000003,3.8800354896,5.7212002763,9.0900608311,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-05,5.0999437756,8.6949464067,12.2694885841,17.0696740389,26.3597419692,0.7922657823,2.3643194684,3.7563226625,5.8217054588,9.7123332379,1.1135450864450018,2.462875695,3.7699730343,5.5867824876,8.7163434776,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-06,4.7356707448,8.4298411577,11.9952150177,16.8899434811,26.886330328,0.6864971044,2.2543849293,3.7649899742,5.7647039734,9.519020182014934,1.0473233563,2.3529024572,3.6749270506,5.530565725425,8.945552832,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-07,4.4663877213,8.2026096545,11.8443051511,16.5507107814,26.3690929693,0.6403723752750021,2.2078517991,3.6042033825,5.6941039589999995,9.3242986817,1.0333964061000005,2.2505822795,3.5847988999,5.5040699447,8.7854851409,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-08,4.1188845046,7.9032753118,11.682088930599999,16.6806652345,26.2183149107,0.6730847117000001,2.1300663886,3.6723011074,5.594452014,9.0298189755,0.9908684473800005,2.1885235977,3.5316250334,5.3243995728,8.478985217504974,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-09,3.7481047006,7.6955544019,11.4183475516,16.4123209108,26.5016164523,0.6371371094,2.0240466898,3.5645297808,5.4953709272,9.2967124049,0.9594868817,2.0707425293,3.4655233257,5.2188918614,8.453740869624982,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-10,3.7929566625,7.4463864348,11.0503831909,16.0896758315,25.4876937717,0.6703343038600014,1.9377679101,3.5005713928,5.4824497646,9.0048593417,0.8977281399,1.9881134206,3.4411621615,5.085972514,8.3458020269,0,0,1,2,3,0,0,0,1,2,0,0,0,1,2
2020-06-11,3.7248211066,7.1472995353,10.8418674794,15.817281020825,25.2500566895,0.5978529690000001,1.8720263611,3.3994441675,5.3317804063,8.9956426245,0.8172901181000001,1.935016223,3.3464029419,5.1521217883,8.461824627479997,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-06-12,3.5038289322000002,7.0619470315,10.4834827933,15.605739914699999,25.473988074,0.5773469299100001,1.7571113557,3.3358947344,5.3070077582,9.233354220439946,0.7796560238,1.9406715142,3.2514939818,5.0622273571,8.5549841759,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
